web-scraper-order,web-scraper-start-url,category,category-href,merk,merk-href,gambar-src,nama,harga,lokasi
1519716007-368,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/lenovo/?&from=onesearch_category_9110,,Lenovo Ideapad 320-14ISK - Intel Core i3-6006U - RAM 4GB - 1TB - 14' - Windows 10 - Denim Blue,Rp5.599.000,DKI Jakarta
1519716011-374,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,https://id-live-03.slatic.net/p/2/hp-14-bs009tx-intel-core-i5-7200u-ram-4gb-1tb-radeon-520-1439-dos-smoke-gray-1509870260-47196633-c19aeeb3230fcfa4c2bbe090a89afb8a-catalog_233.jpg,HP 14-BS009TX - Intel Core i5-7200U - RAM 4GB - 1TB - Radeon 520 - 14' - DOS - Smoke Gray,Rp6.599.000,DKI Jakarta
1519716007-353,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/lenovo/?&from=onesearch_category_9110,,Lenovo IdeaPad 120s-11IAP Intel N3350 / WINDOWS 10 / RAM 2GB / HDD 500GB / Intel HD Graphics,Rp3.099.900,Banten
1519716004-308,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,ACER E5 475G 3415 CORE I3 6006 RAM 2GB HDD 500GB NVidia 940MX LCD 14inc NO OS,Rp6.012.000,Jawa Timur
1519716004-309,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/acer/?&from=onesearch_category_9110,,Acer Aspire E5 475G-30HG - Core i3 6006U - RAM 4GB DDR4 - HDD 500GB - Nvidia GT940MX (2GB DDR5) - 14" Grey,Rp5.945.869,Jawa Timur
1519715997-249,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/toshiba/?&from=onesearch_category_9110,,Toshiba Satellite C40D-A106R - Merah,Rp5.070.000,
1519716011-398,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,,HP 240 G4-58PT - 4GB RAM - Ci3-5005U - 14" - Hitam,Rp5.099.000,DKI Jakarta
1519715976-100,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/lenovo/?&from=onesearch_category_9112,,Lenovo Legion Y520 - I7 7700HQ - 16GB - 1TB - GTX1050TI - W10 - 15.6 Full HD 1080p,Rp16.490.000,Banten
1519715960-12,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/dell/?&from=onesearch_category_9112,,"Dell Inspiron 15-3567 - Intel Core i7-7500U - 8GB - 1TB - VGA - 15,6"" - Windows 10 - Black",Rp10.950.008,Sumatera Utara
1519716007-336,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/lenovo/?&from=onesearch_category_9110,https://id-live-01.slatic.net/p/2/lenovo-ideapad-100-14ibd-0lid-intel-core-i3-5005-2gb-500gb-1434-dos-hitam-1489159326-87541351-a1dd71e74d71d4fae76c6f1f5f8a65a1-catalog_233.jpg,Lenovo IdeaPad 100-14IBD-0LID - Intel Core i3-5005 - 2GB - 500GB - 14" - DOS - Hitam,Rp4.795.000,DKI Jakarta
1519716011-397,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/hp/?&from=onesearch_category_9110,,HP 14-BW001AU - AMD E2-9000E - RAM 4GB - 500GB - 14' - DOS - Hitam,Rp3.389.000,Jawa Timur
1519716016-415,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/asus/?&from=onesearch_category_9110,https://id-live-01.slatic.net/p/2/asus-x441uv-wx095t-intel-core-i3-6006u-ram-4gb-500gb-nvidia-gt920mx-1439-windows-10-aqua-blue-1510915444-71338745-93b87a96e8208121ee5762511e1d2cd1-catalog_233.jpg,Asus X441UV-WX095T - Intel Core i3-6006U - RAM 4GB - 500GB - Nvidia GT920MX - 14' - Windows 10 - Aqua Blue,Rp5.699.000,DKI Jakarta
1519716000-276,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop,https://www.lazada.co.id/jual-laptop-umum/?up_id=19868970&from=onesearch_category_3378,,https://www.lazada.co.id/jual-laptop-umum/dell/?&from=onesearch_category_9110,,Dell Inspiron Turis 14-3467 - Intel Core i5-7200U - RAM 4GB - 1TB - Radeon R5 M430 - 14' - Windows 10 - Black,Rp7.449.000,DKI Jakarta
1519715971-55,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/hp/?&from=onesearch_category_9112,,Omen by HP 15-ce086TX - Ci7 - 16GB - 256GB - 1TB - 1050Ti - 15.6" - Win10,Rp18.699.000,
1519715976-104,https://www.lazada.co.id/beli-laptop/?spm=a2o4j.home.cate_1.7.b36b4cee167qZ5,Laptop Gaming,https://www.lazada.co.id/beli-laptop-gaming/?up_id=4925017&from=onesearch_category_3378,,https://www.lazada.co.id/beli-laptop-gaming/lenovo/?&from=onesearch_category_9112,,Lenovo Legion Y520 15IKBN KKID Gaming 15.6" - i7 7700HQ - 8GB - 1TB - NVIDIA GTX 1050 - DOS - Hitam,Rp14.500.000,DKI Jakarta
